,type,attributes.timestamp,attributes.max,attributes.value,attributes.min
0,dataPoint,2021-03-04T11:00:00.000Z,0,0,0
1,dataPoint,2021-03-04T10:30:00.000Z,0,0,0
2,dataPoint,2021-03-04T10:00:00.000Z,0,0,0
3,dataPoint,2021-03-04T09:30:00.000Z,0,0,0
4,dataPoint,2021-03-04T09:00:00.000Z,0,0,0
5,dataPoint,2021-03-04T08:30:00.000Z,0,0,0
6,dataPoint,2021-03-04T08:00:00.000Z,0,0,0
7,dataPoint,2021-03-04T07:30:00.000Z,0,0,0
8,dataPoint,2021-03-04T07:00:00.000Z,0,0,0
9,dataPoint,2021-03-04T06:30:00.000Z,0,0,0
10,dataPoint,2021-03-04T06:00:00.000Z,0,0,0
11,dataPoint,2021-03-04T05:30:00.000Z,0,0,0
12,dataPoint,2021-03-04T05:00:00.000Z,0,0,0
13,dataPoint,2021-03-04T04:30:00.000Z,0,0,0
14,dataPoint,2021-03-04T04:00:00.000Z,0,0,0
15,dataPoint,2021-03-04T03:30:00.000Z,0,0,0
16,dataPoint,2021-03-04T03:00:00.000Z,0,0,0
17,dataPoint,2021-03-04T02:30:00.000Z,0,0,0
18,dataPoint,2021-03-04T02:00:00.000Z,0,0,0
19,dataPoint,2021-03-04T01:30:00.000Z,0,0,0
20,dataPoint,2021-03-04T01:00:00.000Z,0,0,0
21,dataPoint,2021-03-04T00:30:00.000Z,0,0,0
22,dataPoint,2021-03-04T00:00:00.000Z,0,0,0
23,dataPoint,2021-03-03T23:30:00.000Z,0,0,0
24,dataPoint,2021-03-03T23:00:00.000Z,0,0,0
25,dataPoint,2021-03-03T22:30:00.000Z,0,0,0
26,dataPoint,2021-03-03T22:00:00.000Z,0,0,0
27,dataPoint,2021-03-03T21:30:00.000Z,1,1,0
28,dataPoint,2021-03-03T21:00:00.000Z,1,1,1
29,dataPoint,2021-03-03T20:30:00.000Z,1,1,1
30,dataPoint,2021-03-03T20:00:00.000Z,1,1,1
31,dataPoint,2021-03-03T19:30:00.000Z,3,2,2
32,dataPoint,2021-03-03T19:00:00.000Z,3,3,3
33,dataPoint,2021-03-03T18:30:00.000Z,2,2,2
34,dataPoint,2021-03-03T18:00:00.000Z,2,2,1
35,dataPoint,2021-03-03T17:30:00.000Z,1,1,1
36,dataPoint,2021-03-03T17:00:00.000Z,0,0,0
37,dataPoint,2021-03-03T16:30:00.000Z,0,0,0
38,dataPoint,2021-03-03T16:00:00.000Z,0,0,0
39,dataPoint,2021-03-03T15:30:00.000Z,0,0,0
40,dataPoint,2021-03-03T15:00:00.000Z,0,0,0
41,dataPoint,2021-03-03T14:30:00.000Z,0,0,0
42,dataPoint,2021-03-03T14:00:00.000Z,0,0,0
43,dataPoint,2021-03-03T13:30:00.000Z,0,0,0
44,dataPoint,2021-03-03T13:00:00.000Z,0,0,0
45,dataPoint,2021-03-03T12:30:00.000Z,0,0,0
46,dataPoint,2021-03-03T12:00:00.000Z,1,1,1
47,dataPoint,2021-03-03T11:30:00.000Z,1,1,1
48,dataPoint,2021-03-03T11:00:00.000Z,0,0,0
49,dataPoint,2021-03-03T10:30:00.000Z,0,0,0
50,dataPoint,2021-03-03T10:00:00.000Z,0,0,0
51,dataPoint,2021-03-03T09:30:00.000Z,0,0,0
52,dataPoint,2021-03-03T09:00:00.000Z,0,0,0
53,dataPoint,2021-03-03T08:30:00.000Z,0,0,0
54,dataPoint,2021-03-03T08:00:00.000Z,0,0,0
55,dataPoint,2021-03-03T07:30:00.000Z,0,0,0
56,dataPoint,2021-03-03T07:00:00.000Z,0,0,0
57,dataPoint,2021-03-03T06:30:00.000Z,0,0,0
58,dataPoint,2021-03-03T06:00:00.000Z,0,0,0
59,dataPoint,2021-03-03T05:30:00.000Z,0,0,0
60,dataPoint,2021-03-03T05:00:00.000Z,0,0,0
61,dataPoint,2021-03-03T04:30:00.000Z,0,0,0
62,dataPoint,2021-03-03T04:00:00.000Z,0,0,0
63,dataPoint,2021-03-03T03:30:00.000Z,0,0,0
64,dataPoint,2021-03-03T03:00:00.000Z,0,0,0
65,dataPoint,2021-03-03T02:30:00.000Z,0,0,0
66,dataPoint,2021-03-03T02:00:00.000Z,0,0,0
67,dataPoint,2021-03-03T01:30:00.000Z,0,0,0
68,dataPoint,2021-03-03T01:00:00.000Z,0,0,0
69,dataPoint,2021-03-03T00:30:00.000Z,0,0,0
70,dataPoint,2021-03-03T00:00:00.000Z,0,0,0
71,dataPoint,2021-03-02T23:30:00.000Z,0,0,0
72,dataPoint,2021-03-02T23:00:00.000Z,0,0,0
73,dataPoint,2021-03-02T22:30:00.000Z,2,1,0
74,dataPoint,2021-03-02T22:00:00.000Z,2,2,2
75,dataPoint,2021-03-02T21:30:00.000Z,3,3,2
76,dataPoint,2021-03-02T21:00:00.000Z,3,3,3
77,dataPoint,2021-03-02T20:30:00.000Z,3,3,3
78,dataPoint,2021-03-02T20:00:00.000Z,3,3,3
79,dataPoint,2021-03-02T19:30:00.000Z,3,3,3
80,dataPoint,2021-03-02T19:00:00.000Z,3,3,3
81,dataPoint,2021-03-02T18:30:00.000Z,3,3,3
82,dataPoint,2021-03-02T18:00:00.000Z,3,2,1
83,dataPoint,2021-03-02T17:30:00.000Z,1,1,1
84,dataPoint,2021-03-02T17:00:00.000Z,1,1,0
85,dataPoint,2021-03-02T16:30:00.000Z,1,1,1
86,dataPoint,2021-03-02T16:00:00.000Z,1,1,1
87,dataPoint,2021-03-02T15:30:00.000Z,0,0,0
88,dataPoint,2021-03-02T15:00:00.000Z,0,0,0
89,dataPoint,2021-03-02T14:30:00.000Z,0,0,0
90,dataPoint,2021-03-02T14:00:00.000Z,0,0,0
91,dataPoint,2021-03-02T13:30:00.000Z,0,0,0
92,dataPoint,2021-03-02T12:30:00.000Z,0,0,0
93,dataPoint,2021-03-02T12:00:00.000Z,0,0,0
94,dataPoint,2021-03-02T11:30:00.000Z,0,0,0
95,dataPoint,2021-03-02T11:00:00.000Z,0,0,0
96,dataPoint,2021-03-02T10:00:00.000Z,0,0,0
97,dataPoint,2021-03-02T09:30:00.000Z,0,0,0
98,dataPoint,2021-03-02T09:00:00.000Z,0,0,0
99,dataPoint,2021-03-02T08:30:00.000Z,0,0,0
100,dataPoint,2021-03-02T08:00:00.000Z,0,0,0
101,dataPoint,2021-03-02T07:30:00.000Z,0,0,0
102,dataPoint,2021-03-02T07:00:00.000Z,0,0,0
103,dataPoint,2021-03-02T06:30:00.000Z,0,0,0
104,dataPoint,2021-03-02T06:00:00.000Z,0,0,0
105,dataPoint,2021-03-02T05:30:00.000Z,0,0,0
106,dataPoint,2021-03-02T05:00:00.000Z,0,0,0
107,dataPoint,2021-03-02T04:30:00.000Z,0,0,0
108,dataPoint,2021-03-02T04:00:00.000Z,0,0,0
109,dataPoint,2021-03-02T03:30:00.000Z,0,0,0
110,dataPoint,2021-03-02T03:00:00.000Z,0,0,0
111,dataPoint,2021-03-02T02:30:00.000Z,0,0,0
112,dataPoint,2021-03-02T02:00:00.000Z,0,0,0
113,dataPoint,2021-03-02T01:30:00.000Z,0,0,0
114,dataPoint,2021-03-02T01:00:00.000Z,0,0,0
115,dataPoint,2021-03-02T00:30:00.000Z,0,0,0
116,dataPoint,2021-03-02T00:00:00.000Z,0,0,0
117,dataPoint,2021-03-01T23:30:00.000Z,0,0,0
118,dataPoint,2021-03-01T23:00:00.000Z,2,2,2
119,dataPoint,2021-03-01T22:30:00.000Z,2,2,2
120,dataPoint,2021-03-01T22:00:00.000Z,2,2,2
121,dataPoint,2021-03-01T21:30:00.000Z,0,0,0
122,dataPoint,2021-03-01T21:00:00.000Z,1,1,0
123,dataPoint,2021-03-01T20:30:00.000Z,1,1,1
124,dataPoint,2021-03-01T20:00:00.000Z,2,2,1
125,dataPoint,2021-03-01T19:30:00.000Z,2,2,2
126,dataPoint,2021-03-01T19:00:00.000Z,2,2,2
127,dataPoint,2021-03-01T18:30:00.000Z,2,2,2
128,dataPoint,2021-03-01T18:00:00.000Z,2,1,1
129,dataPoint,2021-03-01T17:30:00.000Z,1,1,1
130,dataPoint,2021-03-01T17:00:00.000Z,0,0,0
131,dataPoint,2021-03-01T16:30:00.000Z,0,0,0
132,dataPoint,2021-03-01T16:00:00.000Z,0,0,0
133,dataPoint,2021-03-01T15:30:00.000Z,0,0,0
134,dataPoint,2021-03-01T15:00:00.000Z,0,0,0
135,dataPoint,2021-03-01T14:30:00.000Z,0,0,0
136,dataPoint,2021-03-01T14:00:00.000Z,0,0,0
137,dataPoint,2021-03-01T13:30:00.000Z,1,1,0
138,dataPoint,2021-03-01T13:00:00.000Z,1,1,1
139,dataPoint,2021-03-01T12:30:00.000Z,1,1,0
